date,open,high,low,close,first_diff,pc_change,month,year
2016-09-15,14.7625,15.08,13.44,14.6775,-0.08499999999999908,-0.5757832345469893,9,2016
2016-09-16,14.6775,14.95,13.425,14.58,-0.09750000000000014,-0.6642820643842584,9,2016
2016-09-19,14.58,15.2025,13.6425,14.94,0.35999999999999943,2.4691358024691246,9,2016
2016-09-20,14.94,15.15,13.77,14.78,-0.16000000000000014,-1.0709504685408322,9,2016
2016-09-21,14.78,14.9525,13.1675,14.805,0.025000000000000355,0.1691474966170503,9,2016
2016-09-22,14.805,14.805,12.5925,13.34,-1.4649999999999999,-9.895305639986496,9,2016
2016-09-23,13.34,13.59,12.03,13.2475,-0.09249999999999936,-0.6934032983508143,9,2016
2016-09-26,13.2475,14.785,12.8125,14.565,1.317499999999999,9.945272692960927,9,2016
2016-09-27,14.565,14.565,13.7725,14.25,-0.3149999999999995,-2.162718846549949,9,2016
2016-09-28,14.25,14.3525,13.4925,13.8475,-0.40249999999999986,-2.824561403508774,9,2016
2016-09-29,13.8475,19.125,13.1525,18.45,4.602499999999999,33.237046398266834,9,2016
2016-09-30,18.45,18.8475,16.8275,17.18,-1.2699999999999996,-6.883468834688344,9,2016
2016-10-03,17.18,17.18,15.51,15.62,-1.5600000000000005,-9.0803259604191,10,2016
2016-10-04,15.62,15.715,14.8125,14.9925,-0.6274999999999995,-4.017285531370041,10,2016
2016-10-05,14.9925,15.145,13.905,14.925,-0.067499999999999,-0.4502251125562684,10,2016
2016-10-06,14.925,15.1225,14.3275,14.835,-0.08999999999999986,-0.6030150753768782,10,2016
2016-10-07,14.835,14.97,13.78,14.485,-0.3500000000000014,-2.3592854735423052,10,2016
2016-10-10,14.485,14.565,13.27,14.285,-0.1999999999999993,-1.380738695201933,10,2016
2016-10-13,14.285,16.0075,14.285,15.425,1.1400000000000006,7.980399019951001,10,2016
2016-10-14,15.425,15.425,14.3325,14.8875,-0.5375000000000014,-3.4846029173419835,10,2016
2016-10-17,14.8875,16.05,14.3475,15.655,0.7675000000000001,5.155331654072204,10,2016
2016-10-18,15.655,15.655,14.3,14.5375,-1.1174999999999997,-7.138294474608752,10,2016
2016-10-19,14.5375,14.9475,13.1525,14.6125,0.07500000000000107,0.5159071367153878,10,2016
2016-10-20,14.6125,14.6125,12.745,14.165,-0.44750000000000156,-3.0624465355004404,10,2016
2016-10-21,14.165,14.35,12.4325,13.83,-0.3349999999999991,-2.3649841157783236,10,2016
2016-10-24,13.83,14.4475,13.1,14.3325,0.5024999999999995,3.633405639913234,10,2016
2016-10-25,14.3325,14.8125,12.84,14.4825,0.15000000000000036,1.0465724751439032,10,2016
2016-10-26,14.4825,14.9375,13.6,14.4525,-0.02999999999999936,-0.20714655618849775,10,2016
2016-10-27,14.4525,14.82,12.7475,14.085,-0.3674999999999997,-2.5428126621691693,10,2016
2016-10-28,14.085,14.88,13.4825,14.6525,0.567499999999999,4.029108981185647,10,2016
2016-10-30,14.8,15.6075,14.48,15.49,0.8375000000000004,5.715748165842016,10,2016
2016-11-01,15.49,15.8875,14.3125,15.735,0.24499999999999922,1.5816655907036736,11,2016
2016-11-02,15.735,17.2625,15.1225,16.7975,1.0625,6.75246266285352,11,2016
2016-11-03,16.7975,16.7975,15.485,16.465,-0.3324999999999996,-1.9794612293495994,11,2016
2016-11-04,16.465,17.425,14.6025,16.8475,0.3825000000000003,2.323109626480413,11,2016
2016-11-07,16.8475,16.8475,14.935,16.5075,-0.33999999999999986,-2.018103576198249,11,2016
